iter	Passed	Remaining
0	151	7441
1	161	3864
2	170	2671
3	180	2070
4	189	1704
5	199	1461
6	209	1284
7	217	1143
8	225	1025
9	234	937
10	242	859
11	250	792
12	257	733
13	265	683
14	273	639
15	282	599
16	290	564
17	298	530
18	306	499
19	314	471
20	322	445
21	330	421
22	339	398
23	347	376
24	356	356
25	364	336
26	373	317
27	382	300
28	391	283
29	400	266
30	408	250
31	418	235
32	427	219
33	435	205
34	444	190
35	454	176
36	463	162
37	472	149
38	480	135
39	488	122
40	496	109
41	505	96
42	514	83
43	521	71
44	531	59
45	540	47
46	549	35
47	558	23
48	567	11
49	578	0
